Switch Name,Model,Serial Number,Internal IPv4 Address,Subnet Mask,Default Gateway,Switch Stack Position,Role
as01.MDF.f1.bldg13.UniversityVillage.tx,C2960X-48FPD-L,FJC2219W2NP,10.125.32.77,255.255.254.0,10.125.32.1,0,POE/PD
0,0,0,0,0,0,0,0
as01.MDF.f1.bldg10A-2.UniversityVillage.tx,C2960X-48TD-L,FOC22211CSN,10.125.32.100,255.255.254.0,10.125.32.1,0,PD
0,0,0,0,0,0,0,0
as01.MDF.f1.bldg8A.UniversityVillage.tx,C2960X-48FPD-L,FJC2223W27H,10.125.32.79,255.255.254.0,10.125.32.1,0,POE/PD
0,0,0,0,0,0,0,0
as01.MDF.f1.bldg8B.UniversityVillage.tx,C2960X-48FPD-L,FJC2223W2A1,10.125.32.83,255.255.254.0,10.125.32.1,0,POE/PD
0,0,0,0,0,0,0,0
as01.MDF.f1.bldg7.UniversityVillage.tx,C2960X-48FPD-L,FJC2223W24M,10.125.32.85,255.255.254.0,10.125.32.1,0,POE/PD
0,0,0,0,0,0,0,0
as01.MDF.f1.bldg9.UniversityVillage.tx,C2960X-48FPD-L,FJC2219W3RB,10.125.32.88,255.255.254.0,10.125.32.1,0,POE/PD
0,0,0,0,0,0,0,0
as01.MDF.f1.bldg14.UniversityVillage.tx,C2960X-48FPD-L,FJC2223W24J,10.125.32.91,255.255.254.0,10.125.32.1,0,POE/PD
0,0,0,0,0,0,0,0
as01.MDF.f1.bldg6B.UniversityVillage.tx,C2960X-48FPD-L,FJC2219W2R0,10.125.32.94,255.255.254.0,10.125.32.1,1,POE/PD
0,C2960X-48TD-L,FOC2221T515,0,255.255.254.0,10.125.32.1,2,PD
0,0,0,0,0,0,0,0
as01.MDF.f1.bldg6A.UniversityVillage.tx,C2960X-48FPD-L,FOC1813S3UD,10.125.32.97,255.255.254.0,10.125.32.1,1,POE/PD
0,C2960X-48TD-L,FOC2221T4ZX,0,255.255.254.0,10.125.32.1,2,PD
